name,scope,sha256_plugin,sha256_vault,identical,classification_sugerida,bytes_plugin,bytes_vault,model_plugin,model_vault,tools_plugin,has_Agent_plugin,has_Bash_plugin,filename_plugin,filename_vault
product-manager,INTERSECTION,707f41aae114c466d8bf099bf8cae2d0e726e70b238e926834d16ea38dbf667a,39e2633eb1e996a0620feff100a69efdf2a1ea919813a9ab6b974d80c6c42820,no,CORE-GENERIC,7869,6706,opus,opus,Read;Edit;Write;Grep;Glob;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;AskUserQuestion,no,no,product-manager.md,product-manager.md
product-marketing-manager,VAULT_ONLY,,99c24e98a1b37f1f594397fb19fe5559f95f3e586dad64067a3689587fd1a5d7,,PERSONAL-OVERLAY,,3127,,opus,,,,,product-marketing-manager.md
qa-engineer,INTERSECTION,20ca86a10604e5f4e0b7eec780bc3c99744385f7dbcaaf72b3ed549bb9de3027,27802798d35f01cd9e6e7a41aa02c5b61652bcaa0e6480745235b9c7026b3a8a,no,CORE-GENERIC,21448,20049,opus,opus,Read;Edit;Write;Grep;Glob;Bash;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;AskUserQuestion,no,yes,qa-engineer.md,qa-engineer.md
release-manager,INTERSECTION,a4875ee90eb2d41a0318681ce76ad519ef8139c29788a52bb7329b7d2da385fa,81894efc12de5a7e27b921473dc4f17b85b518e34c73bdb2d7867c8374309248,no,CORE-GENERIC,4747,3810,opus,opus,Read;Edit;Write;Grep;Glob;Bash;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;AskUserQuestion,no,yes,release-manager.md,release-manager.md
revenue-ops,INTERSECTION,7260c33b27919451a28a74b45744e2a0649ae09671b30ca3339fc6e9ea74d23a,f21f99a98c288f6049e6a25e8f0785dd56170211d1dc970b7f40e8d8b80ddefb,no,CORE-GENERIC,4467,3632,opus,opus,Read;Edit;Grep;Glob;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;Write;AskUserQuestion,no,no,revenue-ops.md,revenue-ops.md
revisor-textual,VAULT_ONLY,,c8a5032011bd06654dddbae358bc8dd0ac62439ced602a12b2405e6129462b1b,,PERSONAL-OVERLAY,,12813,,opus,,,,,revisor-textual.md
scrum-master,INTERSECTION,13de2ee65e775af68a80c43c259591cbcf12b84cc49fffb3a02fdb14caa8163f,b5015ec2c7ad11d5dc38078c2549ae03ef904d952f1403f66a09d28a733c249a,no,CORE-GENERIC,10490,9553,opus,opus,Read;Edit;Write;Grep;Glob;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;AskUserQuestion,no,no,scrum-master.md,scrum-master.md
security-engineer,INTERSECTION,6b30c738eff554f025f29b7164326b945d11eebc8bd9215950bd0a116435255f,c2e2623629eab487213cbace5d3dd98608a84d63b327c5e475dc0b72cc885fb8,no,CORE-GENERIC,25862,24224,opus,opus,Read;Edit;Write;Grep;Glob;Bash;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;AskUserQuestion,no,yes,security-engineer.md,security-engineer.md
software-architect,INTERSECTION,f9d7a01cc6023ad5767fe1b8040ebd5a217a5156bfa127e7c09ee51ad5033c54,d3eb223dfc1c40a9c9ec3b059edd6cdc515c35512feaa92b72eaec9ce4aceccd,no,CORE-GENERIC,15617,13890,opus,opus,Read;Edit;Write;Grep;Glob;Bash;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;AskUserQuestion,no,yes,software-architect.md,software-architect.md
support-engineer,INTERSECTION,43278f5fa8e23948c7d5deb6cf1670dd2f44f61d91ff7d4621c371d1bf3d8584,3b6014477090d6821810961dbe3508904e9bb547f599166c4745674696d34d27,no,CORE-GENERIC,4370,3463,opus,opus,Read;Edit;Write;Grep;Glob;Bash;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;AskUserQuestion,no,yes,support-engineer.md,support-engineer.md
tech-lead,INTERSECTION,6726eef00799318138948860c93b2fc67735e5d5d381c61205255cec5897df53,f78ae3dde19bf3f4d4c9aa2d91749781334ae50f97ad2af22a7967bc9977815a,no,CORE-GENERIC,10076,8627,opus,opus,Read;Edit;Write;Grep;Glob;Bash;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;AskUserQuestion,no,yes,tech-lead.md,tech-lead.md
technical-writer,INTERSECTION,06b5d11ba02ee622c284791b97faa61f2a3c3f4bf481902688458dec6f2e98e0,15734eab41d30c6b61006c863f4d07c87394d0a75b7d8adee792fc54e7682476,no,CORE-GENERIC,15677,14541,opus,opus,Read;Edit;Write;Grep;Glob;Bash;WebFetch;TaskCreate;TaskGet;TaskList;TaskUpdate;AskUserQuestion,no,yes,technical-writer.md,technical-writer.md
ux-researcher,INTERSECTION,34cde9a9864028b5d35726d82a9b8e2b8de498865ff4b6eeebbe90e281a6698c,e01202b335ddba8c7d63c7166b4ee4b9fe9d782749f22c3743578a9ce06b0025,no,CORE-GENERIC,4415,3541,opus,opus,Read;Edit;Grep;Glob;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;Write;AskUserQuestion,no,no,ux-researcher.md,ux-researcher.md
ux-ui-designer,INTERSECTION,b62b6b504822835e0d99da6e7031b6788766abc2c9522431c67d59744d27d8e5,ffb64926765b21eb1e6bb85baa79f2e2dc2357fc5757e3312ba3ff174d63b20b,no,CORE-GENERIC,15710,14384,opus,opus,Read;Edit;Write;Grep;Glob;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;Bash;AskUserQuestion,no,yes,ux-ui-designer.md,ux-ui-designer.md
ux-writer,INTERSECTION,3b04c637f6f6ed9fbaa74d24b876dae1a76543f4741e75604dd9df5c1f4f6d03,7269c96b1caa00be2845087f9857068dede4dea72fdce51809600551d724c814,no,CORE-GENERIC,11860,10773,opus,opus,Read;Edit;Write;Grep;Glob;WebFetch;TaskCreate;TaskGet;TaskList;TaskUpdate;AskUserQuestion,no,no,ux-writer.md,ux-writer.md
visual-design-director,INTERSECTION,942d3e04993f7e2b92da62a1f3c23c86f0f9a237d057047473bd042e8bd11a28,7e188dbd1e9574ea2d23402094191d73302474a46e132f31fb3b335b948ffbd4,no,CORE-GENERIC,23836,22847,opus,opus,Read;Edit;Write;Grep;Glob;Bash;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;AskUserQuestion,no,yes,visual-design-director.md,visual-design-director.md
